player,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,award_share
Julius Erving,35,24.6,8,4.4,2.1,1.8,0.521,0.222,0.787,13.8,0.658
Larry Bird,39.5,21.2,10.9,5.5,2,0.8,0.478,0.27,0.863,10.8,0.613
Kareem Abdul-Jabbar,37.2,26.2,10.3,3.4,0.7,2.9,0.574,0,0.766,14.3,0.414
Moses Malone,40.6,27.8,14.8,1.8,1,1.9,0.522,0.333,0.757,13.7,0.261
George Gervin,33.7,27.1,5.1,3.2,1.1,0.7,0.492,0.257,0.826,10.5,0.12
Marques Johnson,33.4,20.3,6.8,4.6,1.5,0.5,0.552,0,0.706,11.2,0.106
Robert Parish,28,18.9,9.5,1.8,1,2.6,0.545,0,0.71,10.9,0.077
Dennis Johnson,33.1,18.8,4.6,3.7,1.7,0.8,0.436,0.216,0.82,8.4,0.072
Tiny Archibald,35.3,13.8,2.2,7.7,0.9,0.2,0.499,0,0.816,6.9,0.046
Jamaal Wilkes,37.4,22.6,5.4,2.9,1.5,0.4,0.526,0.077,0.758,8.5,0.028
Magic Johnson,37.1,21.6,8.6,8.6,3.4,0.7,0.532,0.176,0.76,6.4,0.026
Adrian Dantley,42.7,30.7,6.4,4,1.4,0.2,0.559,0.286,0.806,13.6,0.022
Phil Ford,34.7,17.5,1.9,8.8,1.5,0.1,0.478,0.306,0.831,5.2,0.022
Bernard King,36,21.9,6.8,3.5,0.9,0.4,0.588,0.333,0.703,9.1,0.017
Kelvin Ransey,30.4,15.2,2.4,6.9,1.1,0.1,0.452,0.097,0.749,2.8,0.016
Jack Sikma,35.6,18.7,10.4,3,1,1.1,0.454,0,0.823,8,0.016
Otis Birdsong,36.5,24.6,3.6,3.3,1.3,0.3,0.544,0.286,0.697,8.2,0.01
Micheal Ray Richardson,40.2,16.4,6.9,7.9,2.9,0.4,0.469,0.225,0.663,6.9,0.01
Truck Robinson,37.7,18.8,9.6,2.5,0.8,0.5,0.505,0,0.629,7.6,0.009
Reggie Theus,34.4,18.9,3.5,5.2,1.5,0.2,0.495,0.2,0.809,9.2,0.009
Norm Nixon,37.5,17.1,2.9,8.8,1.8,0.1,0.476,0.167,0.778,5.5,0.007
Artis Gilmore,34.5,17.9,10.1,2.1,0.6,2.4,0.67,0,0.705,12.3,0.006
Bob Lanier,26.2,14.3,6.2,2.7,1.1,1.2,0.525,1,0.751,6.8,0.006
Michael Cooper,32.4,9.4,4.1,4.1,1.6,1,0.491,0.211,0.785,5,0.004
Walter Davis,28,18,2.6,3.9,1.2,0.2,0.539,0.412,0.836,7.1,0.004
George Johnson,23.6,5,7.3,1.1,0.6,3.4,0.473,0,0.734,4.5,0.004
Bobby Jones,25.3,13.5,5.4,2.8,1.2,0.9,0.539,0,0.813,9.2,0.004
Mike Mitchell,39,24.5,6.1,1.7,0.8,0.6,0.476,0.444,0.784,6,0.004
James Silas,27.4,17.7,3.1,3.8,0.7,0.2,0.477,0,0.85,7,0.004
Quinn Buckner,29.1,13.3,3.6,4.7,2.4,0,0.493,0.167,0.734,5.4,0.001
Caldwell Jones,32.6,7.2,10,1.5,0.7,1.7,0.449,0,0.767,5.5,0.001
Moses Malone,42,31.1,14.7,1.8,0.9,1.5,0.519,0,0.762,15.4,0.735
Larry Bird,38,22.9,10.9,5.8,1.9,0.9,0.503,0.212,0.863,12.5,0.588
Julius Erving,34.4,24.4,6.9,3.9,2,1.7,0.546,0.273,0.763,13.3,0.294
Robert Parish,31.7,19.9,10.8,1.8,0.9,2.4,0.542,0,0.71,10,0.19
Gus Williams,36,23.4,3.1,6.9,2.2,0.5,0.486,0.225,0.734,10.2,0.167
George Gervin,35.7,32.3,5,2.4,1,0.6,0.5,0.278,0.864,10.7,0.159
